name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
ComposePreference,https://github.com/zhanghai/ComposePreference,228,9,Kotlin,zhanghai,Preference implementation for Jetpack Compose Material 3,2024-11-15T08:40:24Z,2023-11-06T11:42:01Z,3
SmolChat-Android,https://github.com/shubham0204/SmolChat-Android,226,26,Kotlin,shubham0204,"Running any GGUF SLMs/LLMs locally, on-device in Android",2025-03-17T07:41:58Z,2024-11-10T08:26:09Z,12
snitcher,https://github.com/skydoves/snitcher,226,6,Kotlin,skydoves,"🦉 Snitcher captures global crashes, enabling easy redirection to the exception tracing screen for swift recovery.",2023-10-02T03:13:37Z,2023-08-20T04:18:25Z,0
reden-is-what-we-made,https://github.com/zly2006/reden-is-what-we-made,226,24,Kotlin,zly2006,Redstone EDEN: Undo & Redo | Ctrl+Z | Mineacrft Debugger | Redstone Version Control | Any amazing features you can image!,2025-02-18T16:10:57Z,2023-05-15T04:53:08Z,14
KotStep,https://github.com/binayshaw7777/KotStep,226,14,Kotlin,binayshaw7777,💜 An easy to use Stepper UI library for Jetpack Compose,2025-03-21T17:47:08Z,2023-09-15T10:10:07Z,2
drag-select-compose,https://github.com/jordond/drag-select-compose,225,2,Kotlin,jordond,⚡ A Compose multiplatform library for adding Google Photos style drag-to-select multi-selection to a LazyGrid,2025-03-20T11:50:18Z,2023-06-15T20:52:11Z,4
carbon-compose,https://github.com/gabrieldrn/carbon-compose,225,11,Kotlin,gabrieldrn,Carbon design system implementation with KMP and Compose Multiplatform,2025-03-21T19:36:29Z,2023-10-20T04:17:10Z,10
neko-anime,https://github.com/xioneko/neko-anime,224,5,Kotlin,xioneko,一个动漫番剧 Android App，使用 Jetpack Compose 构建.,2025-01-23T08:23:12Z,2023-05-24T13:09:40Z,13
LocalMusicHelper,https://github.com/Winnie0408/LocalMusicHelper,223,6,Kotlin,Winnie0408,将您保存在网易云音乐、QQ音乐等在线音乐平台的歌单数据，转换成本项目支持的本地音乐播放器（如Salt Player、APlayer、Poweramp等）可识别的歌单格式，完成歌单的导入操作，方便您快速从在线音乐平台迁移歌单到本地音乐播放器。Quickly migrate your playlists from online music platforms to local music players.,2025-02-09T08:25:56Z,2023-12-11T13:55:09Z,0
anemo-aer,https://github.com/nain-F49FF806/anemo-aer,222,6,Kotlin,nain-F49FF806,Private (secondary) storage for Android,2024-12-25T21:51:29Z,2024-06-18T19:57:04Z,6
quickupload,https://github.com/XJ-Up/quickupload,221,3,Kotlin,XJ-Up,"A framework written purely in Kotlin, encapsulating OkHttp, designed to help developers easily and quickly implement upload functionality. 纯 kotlin编写  ，Okhttp封装，一个让开发者轻松快速完成上传功能的框架 ",2024-08-08T10:21:09Z,2024-05-29T03:38:25Z,1
forest,https://github.com/bk20dev/forest,221,17,Kotlin,bk20dev,"A step counter app, which helps its users stay healthy and fight the climate change.",2024-10-13T21:49:22Z,2023-01-19T21:00:03Z,13
Tiamat,https://github.com/ComposeGears/Tiamat,220,6,Kotlin,ComposeGears,Simple Compose multiplatform navigation library,2025-03-21T20:20:52Z,2024-02-02T12:03:43Z,5
BHub,https://github.com/B1ays/BHub,220,9,Kotlin,B1ays,"Download, Install and Share mods easily",2024-11-15T09:47:35Z,2024-06-24T08:25:16Z,3
ApkSigner,https://github.com/jixiaoyong/ApkSigner,219,25,Kotlin,jixiaoyong,A GUI-based Apk Signing Utility | 一款带GUI的Apk签名程序,2024-10-11T07:54:41Z,2023-08-18T13:15:16Z,9
KeepAlive,https://github.com/keepalivedev/KeepAlive,219,11,Kotlin,keepalivedev,Android app to notify others if you haven't used your device in a given period of time.,2025-03-10T00:14:57Z,2023-11-14T18:51:48Z,6
SteamGuardDump,https://github.com/YifePlayte/SteamGuardDump,218,12,Kotlin,YifePlayte,Dump your SteamGuard data into your clipboard.,2024-11-16T09:46:53Z,2023-03-05T02:42:58Z,3
compose-placeholder,https://github.com/eygraber/compose-placeholder,218,3,Kotlin,eygraber,A Compose Multiplatform library which provides a modifier for display 'placeholder' UI while content is loading.,2025-03-20T11:47:57Z,2023-10-23T01:41:21Z,1
