name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
java-sip-mrcp,https://github.com/laoyin/java-sip-mrcp,233,29,Java,laoyin,java版本的mrcp服务，实现sip、mrcp等协议，实现实时语音流处理、回调等。,2024-04-22T23:46:35Z,2023-07-12T14:10:02Z,0
jCat,https://github.com/tommy811/jCat,233,52,Java,tommy811,java development Console,2024-09-05T12:23:05Z,2024-08-04T03:37:37Z,5
nacos-plus,https://github.com/dylan-tao/nacos-plus,233,19,Java,dylan-tao,Nacos support the database type: OpenGauss、GaussDB、DM、MariaDB、PostgreSQL、Oracle、SQLServer,2025-01-03T19:16:46Z,2023-09-20T06:04:36Z,9
Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition,https://github.com/PacktPublishing/Microservices-with-Spring-Boot-and-Spring-Cloud-Third-Edition,232,204,Java,PacktPublishing,"Microservices with Spring Boot and Spring Cloud, Third Edition",2025-02-24T14:35:05Z,2023-03-09T18:10:02Z,2
c4-cometrue-assignment,https://github.com/C4-ComeTrue/c4-cometrue-assignment,232,27,Java,C4-ComeTrue,취뽀컴트루 & 취준마라톤 과제 레포,2025-03-19T06:40:45Z,2023-12-25T12:17:30Z,0
AdGuard-Rule,https://github.com/hululu1068/AdGuard-Rule,231,56,Java,hululu1068,AdGuard Rule规则合并去重，适用AdGuard/AdGuard Home，支持DOMAIN、REGEX、MODIFY、HOSTS,2025-03-21T12:33:25Z,2023-01-18T13:05:21Z,0
box,https://github.com/mlabalabala/box,231,122,Java,mlabalabala,TVBox的一个可以处理多源的版本，支持安卓4.4,2025-02-06T12:06:06Z,2023-09-04T00:48:07Z,2
vulkanite,https://github.com/MCRcortex/vulkanite,230,23,Java,MCRcortex,A minecraft mod designed to bring vulkan hardware raytracing to minecraft java edition,2024-06-08T00:30:19Z,2023-06-24T11:54:50Z,14
maeil-mail-be,https://github.com/maeil-mail/maeil-mail-be,230,2,Java,maeil-mail,📮 기술 면접 질문을 매일매일 메일로 보내드릴게요!,2025-03-11T15:08:50Z,2024-10-03T09:52:31Z,8
letsPPT,https://github.com/qrpcode/letsPPT,229,43,Java,qrpcode,一个标题AI自动生成PPT文档模板，并转换为图片和视频。带标注系统、C端页面、审核系统、小程序登录端。,2023-09-14T13:29:54Z,2023-09-10T07:07:08Z,2
OctoGram,https://github.com/OctoGramApp/OctoGram,229,15,Java,OctoGramApp,OctoGram is an unofficial messaging app that uses Telegram's API.,2025-03-16T23:32:16Z,2023-06-02T10:37:51Z,10
r2dbc-mysql,https://github.com/asyncer-io/r2dbc-mysql,228,23,Java,asyncer-io,Reactive Relational Database Connectivity for MySQL. The official successor to mirromutth/r2dbc-mysql(dev.miku:r2dbc-mysql).,2025-02-20T12:14:59Z,2023-03-11T06:09:27Z,13
dahuaExploitGUI,https://github.com/MInggongK/dahuaExploitGUI,228,29,Java,MInggongK,dahua综合漏洞利用工具,2024-08-06T02:15:50Z,2024-06-19T11:57:50Z,0
qianfan-starter,https://github.com/ciimina/qianfan-starter,227,45,Java,ciimina,一款文心一言&文心千帆大模型的高性能springboot-starter，支持连续对话（流式返回）、Prompt模板、文生图等，内置连续对话记录，支持消息记录导出。,2025-03-14T14:53:11Z,2023-07-21T09:05:27Z,7
2023-hang-log,https://github.com/woowacourse-teams/2023-hang-log,227,18,Java,woowacourse-teams,"장소 기반 여행 기록 서비스, ""행록""⛱️",2024-04-23T18:12:49Z,2023-06-29T01:23:06Z,11
Flashback,https://github.com/Moulberry/Flashback,227,35,Java,Moulberry,,2025-03-15T08:54:28Z,2024-06-28T10:28:00Z,0
CoinExchange,https://github.com/CoinExPro/CoinExchange,226,41,Java,CoinExPro,  功能强大种类丰富的开源数字货币合约交易所。基于Spring Cloud Alibaba的比特币币交易所，比特币交易所 | BTC交易所 | ETH交易所 | 区块链 |撮合机器人| 本项目有后台管理（后端+前端）、前台（交易、活动、个人中心等）、安卓APP源码等，项目有实时在线体验链接，即刻体验！,2025-01-17T02:06:12Z,2023-11-13T08:13:34Z,1
xrpc,https://github.com/yj8023xx/xrpc,226,0,Java,yj8023xx,"A lightweight, high throughput, and low latency RPC framework that supports the RDMA protocol",2024-09-15T10:31:59Z,2023-06-16T13:51:08Z,0
movieist,https://github.com/fhsinchy/movieist,224,188,Java,fhsinchy,REST API powered by Spring Boot written for a freeCodeCamp course,2024-01-22T05:41:48Z,2023-01-04T13:31:41Z,1
PureMusic,https://github.com/pure-music/PureMusic,224,9,Java,pure-music,本地、百度网盘、阿里云盘、WebDAV、GoogleDrive、OneDrive、Dropbox、Plex、Emby、Jelly、Subsonic音乐播放器，支持Android、Windows、Mac、Linux平台,2025-03-19T07:09:39Z,2023-09-26T02:53:20Z,12
java-backend-bootcamp,https://github.com/koushikkothagal/java-backend-bootcamp,224,235,Java,koushikkothagal,,2024-08-18T04:22:28Z,2023-01-10T04:33:35Z,9
embeddium,https://github.com/FiniteReality/embeddium,224,115,Java,FiniteReality,An open-source client performance mod for Minecraft (based on Sodium 0.5.8) prioritizing reliability & mod compatibility,2025-02-07T17:00:29Z,2023-06-23T20:26:12Z,75
