name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
surf,https://github.com/assetnote/surf,626,45,Go,assetnote,"Escalate your SSRF vulnerabilities on Modern Cloud Environments. `surf` allows you to filter a list of hosts, returning a list of viable SSRF candidates.",2023-12-19T00:13:43Z,2023-06-17T06:16:26Z,0
kubeskoop,https://github.com/alibaba/kubeskoop,626,76,Go,alibaba,Network monitoring & diagnosis suite for Kubernetes,2025-03-06T02:04:26Z,2023-01-16T16:07:34Z,30
Message-Push-Nest,https://github.com/engigu/Message-Push-Nest,624,52,Go,engigu,"🕊️ Message Nest - 打造个性化消息推送平台，整合邮件、钉钉、企业微信、自定义webhook等多种通知方式。定制你的消息，让通知方式更灵活多样。 🕊️ Message Nest - Craft your personalized message push hub, seamlessly integrating notifications from emails dtalk and so on. Tailor your messages for a flexible and diverse notification experience.",2025-03-18T06:23:57Z,2023-12-14T09:33:00Z,4
go-sqlite3,https://github.com/ncruces/go-sqlite3,624,19,Go,ncruces,Go bindings to SQLite using wazero,2025-03-21T11:38:24Z,2023-01-11T14:54:42Z,7
gemini-openai-proxy,https://github.com/zhu327/gemini-openai-proxy,620,118,Go,zhu327,A proxy for converting the OpenAI API protocol to the Google Gemini Pro protocol.,2025-03-21T12:09:09Z,2023-12-16T14:57:03Z,4
clash-speedtest,https://github.com/faceair/clash-speedtest,618,74,Go,faceair,clash speedtest,2024-11-15T14:30:15Z,2023-05-02T13:03:06Z,4
AtomixDB,https://github.com/Sahilb315/AtomixDB,613,22,Go,Sahilb315,An persistent relational database built in Go.,2025-03-20T18:24:50Z,2024-11-29T12:57:55Z,0
CloudflareWarpSpeedTest,https://github.com/peanut996/CloudflareWarpSpeedTest,612,97,Go,peanut996,⭐WARP IP 优选工具,2025-01-20T06:19:20Z,2023-08-15T03:48:32Z,3
sqids-go,https://github.com/sqids/sqids-go,610,14,Go,sqids,Official Go port of Sqids. Generate short unique IDs from numbers.,2023-09-11T10:00:20Z,2023-06-24T15:27:56Z,1
ggh,https://github.com/byawitz/ggh,607,18,Go,byawitz,Recall your SSH sessions (also search your SSH config file),2025-01-21T08:38:01Z,2024-08-26T03:51:16Z,10
sj,https://github.com/BishopFox/sj,606,88,Go,BishopFox,A tool for auditing endpoints defined in exposed (Swagger/OpenAPI) definition files.,2025-03-18T20:09:01Z,2023-11-08T04:21:09Z,3
batt,https://github.com/charlie0129/batt,604,25,Go,charlie0129,Control and limit battery charging on Apple Silicon MacBooks.,2025-03-02T08:24:08Z,2023-04-02T09:35:29Z,9
oops,https://github.com/samber/oops,603,20,Go,samber,"🔥 Error handling library with context, assertion, stack trace and source fragments",2025-03-13T07:13:13Z,2023-05-16T07:12:16Z,14
GoDefender,https://github.com/EvilBytecode/GoDefender,602,60,Go,EvilBytecode,"Anti Virtulization, Anti Debugging, AntiVM, Anti Virtual Machine, Anti Debug, Anti Sandboxie, Anti Sandbox, VM Detect package. Windows ONLY.",2025-02-26T16:40:00Z,2024-06-04T06:02:06Z,2
convoC2,https://github.com/cxnturi0n/convoC2,601,81,Go,cxnturi0n,C2 infrastructure that allows Red Teamers to execute system commands on compromised hosts through Microsoft Teams. ,2025-01-15T20:59:44Z,2024-09-16T13:16:56Z,1
csghub-server,https://github.com/OpenCSGs/csghub-server,598,107,Go,OpenCSGs,"csghub-server is the backend server for CSGHub which helps user to manage datasets, modes, and also run Model Inference, Finetune and Application Spaces.",2025-03-21T07:00:55Z,2024-01-12T11:04:59Z,1
apple-music-alac-downloader,https://github.com/alacleaker/apple-music-alac-downloader,598,178,Go,alacleaker,Apple Music ALAC Downloader,2024-03-05T14:36:15Z,2024-03-04T21:54:07Z,0
qq,https://github.com/JFryy/qq,597,4,Go,JFryy,"jq, but with many interoperable configuration format transcodings and interactive querying.",2025-02-21T04:51:10Z,2024-06-23T23:47:53Z,6
prismx,https://github.com/yqcs/prismx,597,70,Go,yqcs,:: Prism X · Automated Enterprise Network Security Risk Detection and Vulnerability Scanning Tool  / 棱镜 X · 自动化企业网络安全风险检测、漏洞扫描工具,2025-02-13T01:32:41Z,2023-12-25T06:08:41Z,2
golang-interview-prep,https://github.com/MatthewJamesBoyle/golang-interview-prep,597,72,Go,MatthewJamesBoyle,,2023-08-01T06:50:53Z,2023-06-11T16:41:28Z,0
dst-admin-go,https://github.com/carrot-hu23/dst-admin-go,596,80,Go,carrot-hu23,"Don't Starve Together server panel. Manage room with ease, featuring visual world and mod management, player log collection。饥荒联机服务器面板。轻松管理房间，支持可视化的世界和模组管理，玩家日志采集",2025-03-19T01:29:59Z,2023-01-27T13:25:27Z,25
godap,https://github.com/Macmod/godap,595,24,Go,Macmod,A complete terminal user interface (TUI) for LDAP.,2025-03-05T04:06:34Z,2023-12-07T12:36:16Z,3
seanime,https://github.com/5rahim/seanime,590,44,Go,5rahim,Open-source media server with a web interface and desktop app for anime and manga.,2025-03-21T08:51:21Z,2023-10-23T03:05:04Z,27
readytotouch,https://github.com/readytotouch/readytotouch,589,11,Go,readytotouch,A platform for simplifying job search,2025-03-20T21:26:25Z,2023-07-27T20:15:04Z,14
zigbee_home,https://github.com/ffenix113/zigbee_home,586,11,Go,ffenix113,Project to provide functionality similar to ESPHome but for Zigbee instead of WiFi for nRF52,2025-03-11T16:09:15Z,2023-12-04T18:47:03Z,8
ecs,https://github.com/oneclickvirt/ecs,581,36,Go,oneclickvirt,VPS融合怪服务器测评项目-GO重构版本(VPS Fusion Monster Server Test Script),2025-03-21T14:54:22Z,2024-06-25T08:39:37Z,0
gomanagedocker,https://github.com/ajayd-san/gomanagedocker,581,24,Go,ajayd-san,"TUI tool to manage your docker images, containers and volumes 🚀",2024-12-28T07:44:20Z,2024-04-30T00:37:15Z,7
tinyauth,https://github.com/steveiliop56/tinyauth,579,14,Go,steveiliop56,The simplest way to protect your apps with a login screen.,2025-03-20T19:34:51Z,2025-01-19T11:40:09Z,2
