name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
sveltia-cms,https://github.com/sveltia/sveltia-cms,1277,66,JavaScript,sveltia,"Netlify/Decap CMS alternative. Fast, lightweight, Git-based headless CMS. Modern UX, first-class i18n support + 100s of improvements. Open source & free. Made with Svelte.",2025-03-20T21:12:00Z,2023-03-06T15:09:55Z,40
documind,https://github.com/DocumindHQ/documind,1273,44,JavaScript,DocumindHQ,Open-source platform for extracting structured data from documents using AI.,2025-02-21T13:23:25Z,2024-11-17T00:17:23Z,2
gpu_poor,https://github.com/RahulSChand/gpu_poor,1271,67,JavaScript,RahulSChand,Calculate token/s & GPU memory requirement for any LLM.  Supports llama.cpp/ggml/bnb/QLoRA quantization,2024-12-03T20:52:37Z,2023-09-12T10:41:29Z,7
AD_Miner,https://github.com/AD-Security/AD_Miner,1262,129,JavaScript,AD-Security,AD Miner is an Active Directory audit tool that leverages cypher queries to crunch data from the #Bloodhound graph database to uncover security weaknesses,2025-03-12T10:53:09Z,2023-09-26T12:36:59Z,0
anon-kode,https://github.com/dnakov/anon-kode,1260,395,JavaScript,dnakov,koding with any LLMs,2025-03-18T17:44:03Z,2025-03-03T20:25:47Z,2
search2ai,https://github.com/fatwang2/search2ai,1258,192,JavaScript,fatwang2,Help your LLMs online,2025-02-19T16:26:01Z,2023-12-18T02:02:46Z,17
chatgpt-mirror,https://github.com/yuezk/chatgpt-mirror,1236,324,JavaScript,yuezk,A mirror of ChatGPT based on the gpt-3.5-turbo model.,2023-04-02T02:02:25Z,2023-03-04T11:50:54Z,0
telegraph-Image,https://github.com/x-dr/telegraph-Image,1234,1028,JavaScript,x-dr,,2024-11-21T12:52:38Z,2023-07-03T14:37:30Z,27
LiteLoaderQQNT-lite_tools,https://github.com/xiyuesaves/LiteLoaderQQNT-lite_tools,1211,36,JavaScript,xiyuesaves,LiteLoaderQQNT 插件 - 轻量工具箱 —— 轻量 · 优雅 · 高效,2024-12-04T03:15:01Z,2023-07-19T06:39:49Z,33
openprompt.co,https://github.com/timqian/openprompt.co,1197,60,JavaScript,timqian,Create. Use. Share. ChatGPT prompts,2025-03-14T00:29:47Z,2023-03-22T10:59:08Z,22
kaguya,https://github.com/ykdojo/kaguya,1195,189,JavaScript,ykdojo,"A ChatGPT plugin that allows you to load and edit your local files in a controlled way, as well as run any Python, JavaScript, and bash script.",2023-08-31T23:18:32Z,2023-06-17T18:26:53Z,6
3D_portfolio,https://github.com/adrianhajdin/3D_portfolio,1194,263,JavaScript,adrianhajdin,"Let's build a cool 3D website together! You'll learn how to make a portfolio with fun interactive parts, like a floating island and a fox that moves when you type. It'll allow you to show off your skills and get a job!",2024-05-20T06:14:12Z,2023-10-05T12:54:51Z,13
repo2txt,https://github.com/abinthomasonline/repo2txt,1186,128,JavaScript,abinthomasonline,Web-based tool converts GitHub repository contents into a single formatted text file,2024-12-06T14:35:05Z,2024-09-23T13:18:07Z,5
mediapipe-touchdesigner,https://github.com/torinmb/mediapipe-touchdesigner,1179,51,JavaScript,torinmb,GPU Accelerated MediaPipe Plugin for TouchDesigner,2025-03-17T22:40:18Z,2023-08-02T13:51:17Z,23
swissgl,https://github.com/google/swissgl,1179,44,JavaScript,google,"SwissGL is a minimalistic wrapper on top of WebGL2 JS API. It's designed to reduce the amount of boilerplate code required to manage GLSL shaders, textures and framebuffers when making procedural visualizations or simulations.",2025-03-18T22:11:37Z,2023-02-06T17:33:50Z,8
GPT-Agent,https://github.com/SamurAIGPT/GPT-Agent,1178,113,JavaScript,SamurAIGPT,"🚀 Introducing 🐪 CAMEL: a game-changing role-playing approach for LLMs and auto-agents like BabyAGI & AutoGPT! Watch two agents 🤝 collaborate and solve tasks together, unlocking endless possibilities in #ConversationalAI, 🎮 gaming, 📚 education, and more! 🔥",2023-05-02T17:38:19Z,2023-04-21T08:31:00Z,7
