name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
whisper-web,https://github.com/xenova/whisper-web,2853,336,TypeScript,xenova,ML-powered speech recognition directly in your browser,2024-10-01T11:32:32Z,2023-03-17T17:41:18Z,31
eko,https://github.com/FellouAI/eko,2844,191,TypeScript,FellouAI,Eko (Eko Keeps Operating) - Build Production-ready Agentic Workflow with Natural Language - eko.fellou.ai,2025-03-21T12:58:17Z,2024-11-23T07:32:24Z,16
directories,https://github.com/pontusab/directories,2829,462,TypeScript,pontusab,"The Cursor & Windsurf community, find rules and MCPs",2025-03-19T16:56:32Z,2024-08-24T12:44:44Z,0
lms,https://github.com/lmstudio-ai/lms,2829,201,TypeScript,lmstudio-ai,LM Studio CLI,2025-03-20T19:38:11Z,2024-04-15T15:04:41Z,102
trampar-de-casa,https://github.com/ocodista/trampar-de-casa,2827,108,TypeScript,ocodista,Apoiamos o trabalho remoto e divulgamos vagas semanalmente para inscritos.,2025-01-29T13:51:37Z,2023-06-20T21:34:59Z,0
uikit,https://github.com/pmndrs/uikit,2823,152,TypeScript,pmndrs,🎨 user interfaces for react-three-fiber,2025-03-21T00:30:44Z,2024-02-15T18:26:49Z,37
input-otp,https://github.com/guilhermerodz/input-otp,2792,69,TypeScript,guilhermerodz,One time passcode Input. Accessible & unstyled.,2025-02-21T22:01:34Z,2024-02-13T21:21:30Z,8
gitdiagram,https://github.com/ahmedkhaleel2004/gitdiagram,2788,175,TypeScript,ahmedkhaleel2004,Replace 'hub' with 'diagram' in any GitHub url to instantly visualize the codebase as an interactive diagram,2025-03-14T11:26:13Z,2024-12-15T10:32:03Z,4
maily.to,https://github.com/arikchakma/maily.to,2783,163,TypeScript,arikchakma,"Craft beautiful emails effortlessly with Maily, the powerful email editor that ensures impeccable communication across all major clients.",2025-03-21T01:31:25Z,2023-06-23T13:24:23Z,2
speechgpt,https://github.com/hahahumble/speechgpt,2763,394,TypeScript,hahahumble,💬 SpeechGPT is a web application that enables you to converse with ChatGPT.,2023-10-16T11:32:00Z,2023-03-28T14:32:19Z,24
BilibiliSponsorBlock,https://github.com/hanydd/BilibiliSponsorBlock,2761,64,TypeScript,hanydd,"一款跳过B站视频中恰饭片段的浏览器插件，移植自 SponsorBlock。A browser extension to skip sponsored segments in videos on Bilibili.com, ported from the SponsorBlock",2025-03-18T13:35:45Z,2024-01-17T17:02:40Z,22
trendFinder,https://github.com/ericciarla/trendFinder,2750,296,TypeScript,ericciarla,Stay on top of trending topics on social media and the web with AI,2025-02-17T00:10:52Z,2024-12-31T17:15:49Z,10
subscription,https://github.com/gkd-kit/subscription,2744,396,TypeScript,gkd-kit,GKD 默认订阅规则,2024-05-12T05:16:52Z,2023-07-04T02:37:15Z,104
