name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
io_crossword,https://github.com/VGVentures/io_crossword,107,13,Dart,VGVentures,"Google I/O 2024 Crossword game built with Flutter, Firebase & Gemini",2024-10-08T00:14:43Z,2024-02-19T16:59:59Z,2
OASX,https://github.com/runhey/OASX,106,23,Dart,runhey,,2025-03-19T07:00:00Z,2023-09-01T16:09:01Z,8
Flutter-Basics,https://github.com/mahdinazmi/Flutter-Basics,106,82,Dart,mahdinazmi,,2023-02-15T12:49:48Z,2023-02-14T11:36:40Z,1
omesh,https://github.com/renancaraujo/omesh,106,6,Dart,renancaraujo, O'Mesh is a fast and highly customizable vector animated Mesh Gradients implementation. ,2025-01-25T13:26:04Z,2024-08-04T19:19:52Z,1
azure_devops_app,https://github.com/PurpleSoftSrl/azure_devops_app,106,15,Dart,PurpleSoftSrl,Azure DevOps Mobile App,2025-03-20T11:54:56Z,2023-01-31T12:24:39Z,7
BiliNeo,https://github.com/Predidit/BiliNeo,105,4,Dart,Predidit,又一个第三方 Bilibili 客户端，支持 Android/Windows/Linux ,2024-05-23T07:18:00Z,2024-02-24T11:32:20Z,6
dart-introduccion,https://github.com/Klerith/dart-introduccion,105,71,Dart,Klerith,,2023-02-03T20:05:13Z,2023-02-03T20:03:43Z,0
flutter-codespaces,https://github.com/dilanx/flutter-codespaces,105,68,Dart,dilanx,Use Flutter on GitHub Codespaces,2023-09-26T01:01:33Z,2023-04-06T23:44:30Z,4
electric_dart,https://github.com/SkillDevs/electric_dart,105,8,Dart,SkillDevs,A Dart implementation for Electric (electric-sql.com).,2024-07-24T14:35:49Z,2023-03-28T16:07:30Z,4
frigoligo,https://github.com/casimir/frigoligo,105,6,Dart,casimir,Your articles with you,2025-03-21T13:00:28Z,2023-07-18T19:11:01Z,16
ricochlime,https://github.com/adil192/ricochlime,104,8,Dart,adil192,Satisfying monster shooter,2025-01-13T11:33:01Z,2023-08-01T21:34:15Z,5
hiqradio,https://github.com/buf1024/hiqradio,104,22,Dart,buf1024,Platform independent Desktop&Mobile radio player listen to all over world!!!⭐️⭐️⭐️👍👍👍,2024-12-22T12:19:41Z,2023-05-04T07:35:09Z,1
netshare,https://github.com/huynguyennovem/netshare,103,22,Dart,huynguyennovem,An open-source Flutter project that makes it easy to share data in a local network,2024-07-08T15:18:44Z,2023-01-09T06:19:11Z,5
very_good_templates,https://github.com/VeryGoodOpenSource/very_good_templates,102,18,Dart,VeryGoodOpenSource,Collection of open-source templates created and maintained by Very Good Ventures.,2025-03-17T08:04:06Z,2023-12-14T13:33:55Z,15
love_search_padi,https://github.com/paditianxiu/love_search_padi,102,10,Dart,paditianxiu,影视搜索器,2024-12-09T07:31:23Z,2024-04-06T12:29:41Z,2
aqua-wallet,https://github.com/AquaWallet/aqua-wallet,101,15,Dart,AquaWallet,https://aquawallet.io,2025-02-18T16:35:25Z,2024-01-14T02:57:23Z,41
flutter-movie-app,https://github.com/mohamadayash22/flutter-movie-app,101,42,Dart,mohamadayash22,"Movie app made in Flutter with clean architecture using BLoC, Hive and the movie db API.",2024-03-29T18:13:32Z,2023-03-14T10:53:30Z,0
