name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
CS2,https://github.com/joedwards32/CS2,357,67,Shell,joedwards32,CS2 Dedicated Server Docker Image,2025-03-21T18:13:19Z,2023-09-30T15:52:25Z,4
CasaOS-AppStore-Play,https://github.com/Cp0204/CasaOS-AppStore-Play,356,54,Shell,Cp0204,Making Docker Your Productivity Tool - 让 Docker 成为你的生产力工具,2025-03-17T08:42:36Z,2023-06-01T16:27:56Z,2
mitmrouter,https://github.com/nmatt0/mitmrouter,356,57,Shell,nmatt0,Bash script to automate setup of Linux router useful for IoT device traffic analysis and SSL mitm,2024-08-08T01:32:16Z,2024-04-28T21:11:24Z,3
missing-cve-nuclei-templates,https://github.com/edoardottt/missing-cve-nuclei-templates,353,41,Shell,edoardottt,"Weekly updated list of missing CVEs in nuclei templates official repository. Mainly built for bug bounty, but useful for penetration tests and vulnerability assessments too.",2025-03-17T08:15:29Z,2023-02-16T18:16:11Z,3
fly-to-podman,https://github.com/Edu4rdSHL/fly-to-podman,352,6,Shell,Edu4rdSHL,Migrate from Docker to Podman.,2025-02-21T20:21:35Z,2025-02-21T07:29:48Z,0
LEAKEY,https://github.com/rohsec/LEAKEY,350,47,Shell,rohsec,LEAKEY is a bash script which checks and validates for leaked credentials. The idea behind LEAKEY is to make it highly customizable and easy to add checks for new services.,2023-12-05T07:46:36Z,2023-11-20T10:50:42Z,0
DNABERT_2,https://github.com/MAGICS-LAB/DNABERT_2,350,81,Shell,MAGICS-LAB,[ICLR 2024] DNABERT-2: Efficient Foundation Model and Benchmark for Multi-Species Genome,2024-12-14T04:00:30Z,2023-06-23T06:48:01Z,40
kubestarter,https://github.com/LondheShubham153/kubestarter,349,2080,Shell,LondheShubham153,This is a Repository to get you started with Kubernetes.,2025-03-09T05:42:51Z,2023-08-20T01:09:54Z,2
Proxmox-Enhanced-Configuration-Utility,https://github.com/Danilop95/Proxmox-Enhanced-Configuration-Utility,348,18,Shell,Danilop95,Is a comprehensive and versatile Bash script designed to simplify and optimize the configuration and management of Proxmox Virtual Environment (VE) systems. ,2025-03-05T15:17:56Z,2023-07-08T17:02:01Z,6
ferninux,https://github.com/inf3rtil/ferninux,348,36,Shell,inf3rtil,"Ferninux distro inspired by LFS, Gentoo, Slackware and many others projects",2025-02-20T03:32:41Z,2023-06-22T00:02:43Z,2
rule,https://github.com/qichiyuhub/rule,347,357,Shell,qichiyuhub,Clash、Sing-box、等分流规则,2025-03-20T12:25:29Z,2024-10-04T13:16:30Z,0
tlosint-vm,https://github.com/tracelabs/tlosint-vm,346,37,Shell,tracelabs,Trace Labs OSINT VM,2025-01-17T02:50:56Z,2023-01-20T08:28:42Z,16
bashunit,https://github.com/TypedDevs/bashunit,346,32,Shell,TypedDevs,A simple testing library for bash scripts. Test your bash scripts in the fastest and simplest way.,2025-02-19T12:59:52Z,2023-09-04T08:12:23Z,25
Upscaler,https://github.com/hollowaykeanho/Upscaler,345,31,Shell,hollowaykeanho,A consolidation of various compiled open-source AI image/video upscaling product for a working CLI friendly image and video upscaling program.,2024-11-25T22:54:44Z,2023-04-28T11:07:13Z,32
AntiZapret-VPN,https://github.com/GubernievS/AntiZapret-VPN,343,27,Shell,GubernievS,,2025-03-21T20:13:12Z,2024-08-13T11:22:46Z,2
WinterBreak,https://github.com/KindleModding/WinterBreak,341,14,Shell,KindleModding,It do a thing,2025-02-27T22:44:12Z,2023-10-29T07:26:40Z,3
AdGuardHomeForMagisk,https://github.com/twoone-3/AdGuardHomeForMagisk,341,12,Shell,twoone-3,,2025-03-20T04:55:28Z,2023-11-22T14:48:00Z,3
summer-day-and-night,https://github.com/MathisP75/summer-day-and-night,340,17,Shell,MathisP75,Hyprland rice for the summer themed competition,2023-06-29T02:23:59Z,2023-05-11T19:27:53Z,1
commonscript,https://github.com/wukongdaily/commonscript,340,71,Shell,wukongdaily,This project is a universal script designed for OpenWrt. It can be used on both Arm and x86 platforms.,2024-10-21T08:14:28Z,2023-09-10T00:08:51Z,16
ssh-key-backdoor,https://github.com/hackerschoice/ssh-key-backdoor,340,46,Shell,hackerschoice,,2023-05-25T16:01:12Z,2023-05-17T16:13:49Z,0
FrameworkPatcherGO,https://github.com/changhuapeng/FrameworkPatcherGO,337,36,Shell,changhuapeng,"A Magisk/KernelSU/APatch module to modify framework.jar directly on the phone, to build a valid system-level certificate chain.",2024-07-08T12:36:15Z,2024-05-30T06:21:07Z,7
sing-box-installer,https://github.com/RayWangQvQ/sing-box-installer,336,82,Shell,RayWangQvQ,基于docker一键安装sing-box服务端，并自动生成vmess、naiveproxy、hysteria2节点，官方镜像，极简安装,2025-01-22T16:51:12Z,2023-01-26T03:40:58Z,6
unidbg-fetch-qsign-shell,https://github.com/CikeyQi/unidbg-fetch-qsign-shell,333,82,Shell,CikeyQi,Linux一键快速部署Qsign服务,2024-03-29T18:44:10Z,2023-09-21T15:04:40Z,0
ccurl.sh,https://github.com/fipso/ccurl.sh,331,9,Shell,fipso,Use cURL with cookies from Chrome,2023-04-02T16:44:49Z,2023-03-27T20:51:50Z,0
zensh,https://github.com/dreamsofautonomy/zensh,330,49,Shell,dreamsofautonomy,,2024-10-07T14:31:31Z,2024-05-16T15:20:39Z,1
pi-kiosk,https://github.com/geerlingguy/pi-kiosk,330,14,Shell,geerlingguy,A simple Raspberry Pi Kiosk app,2024-11-18T16:51:40Z,2024-11-04T19:40:00Z,12
serv00-script,https://github.com/yixiu001/serv00-script,328,434,Shell,yixiu001,serv00脚本,2024-08-19T02:11:54Z,2024-07-13T19:31:56Z,7
TR-100,https://github.com/usgraphics/TR-100,325,15,Shell,usgraphics,TR-100 Machine Report,2024-06-19T15:58:39Z,2024-06-09T05:07:50Z,1
applera1n,https://github.com/Hackt1vator/applera1n,325,66,Shell,Hackt1vator,icloud bypass for ios 15-16,2024-12-09T07:47:20Z,2023-03-05T22:24:53Z,24
Ashro_linux,https://github.com/Ashro-one/Ashro_linux,325,33,Shell,Ashro-one,Linux通用应急响应脚本，适用大多数情况。不如手敲,2024-12-17T09:55:13Z,2023-04-04T06:35:51Z,0
config-examples,https://github.com/TheyCallMeSecond/config-examples,325,58,Shell,TheyCallMeSecond,"Hysteria2, TUIC, Reality, ShadowTLS, WebSocket, gRPC, Naive and Warp installer script + client side config examples",2024-10-25T10:15:52Z,2023-09-03T16:24:27Z,10
orb-hardware,https://github.com/worldcoin/orb-hardware,322,75,Shell,worldcoin,Hardware specifications and schematics for the Worldcoin Orb.,2025-01-17T10:26:27Z,2023-01-20T09:32:34Z,11
Hypr,https://github.com/Cybersnake223/Hypr,320,13,Shell,Cybersnake223,Vicious Viper Dotfiles,2024-11-30T15:37:20Z,2023-09-01T02:59:49Z,0
NucleiScanner,https://github.com/0xKayala/NucleiScanner,317,45,Shell,0xKayala,NucleiScanner is a Powerful Automation tool for detecting Unknown Vulnerabilities in the Web Applications,2024-07-04T11:45:09Z,2024-04-25T17:55:19Z,1
serverless-postgres,https://github.com/kiwicopple/serverless-postgres,314,7,Shell,kiwicopple,,2024-07-24T11:16:41Z,2024-05-29T03:07:14Z,5
safe-tx-hashes-util,https://github.com/pcaversaccio/safe-tx-hashes-util,314,55,Shell,pcaversaccio,This Bash script calculates the Safe transaction hashes by retrieving transaction details from the Safe transaction service API and computing both the domain and message hashes using the EIP-712 standard.,2025-03-21T13:02:26Z,2024-10-20T23:13:31Z,0
LinuxCrackingBible,https://github.com/YoteZip/LinuxCrackingBible,311,7,Shell,YoteZip,A thorough guide to defeating DRM on Linux,2025-03-19T11:44:50Z,2023-06-20T04:29:45Z,3
Easy-Mesh,https://github.com/Musixal/Easy-Mesh,310,66,Shell,Musixal,Peer to Peer VPN based on easytier core,2024-11-24T13:46:44Z,2024-06-08T12:44:46Z,6
F31,https://github.com/casterbyte/F31,309,36,Shell,casterbyte,Tool for hiding Kali Linux on the network,2024-05-21T23:37:59Z,2024-01-17T10:24:14Z,0
downr1n,https://github.com/edwin170/downr1n,308,42,Shell,edwin170,"downgrade tethered checkm8 idevices ios 14, 15.",2024-11-08T03:15:16Z,2023-03-22T20:30:47Z,0
argc-completions,https://github.com/sigoden/argc-completions,308,20,Shell,sigoden,"{bash,zsh,fish,powershell,nushell}-completions for 1000+ commands.",2024-11-27T07:20:54Z,2023-03-15T05:10:20Z,1
arpl-i18n,https://github.com/syno-community/arpl-i18n,307,172,Shell,syno-community,Automated Redpill Loader,2024-01-14T03:32:46Z,2023-12-05T13:26:59Z,0
dockerLLM,https://github.com/TheBlokeAI/dockerLLM,306,60,Shell,TheBlokeAI,TheBloke's Dockerfiles,2024-03-08T11:45:10Z,2023-06-05T21:57:04Z,6
turboacc,https://github.com/chenmozhijin/turboacc,305,91,Shell,chenmozhijin,一个适用于官方openwrt(22.03/23.05/24.10) firewall4的turboacc,2025-02-07T14:58:19Z,2023-03-25T13:10:19Z,0
