name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
ObfuscateMacro,https://github.com/p-x9/ObfuscateMacro,169,12,Swift,p-x9,🕵️ Swift macros for obfuscation,2024-11-09T16:06:39Z,2023-07-18T05:28:06Z,0
authenticator-ios,https://github.com/bitwarden/authenticator-ios,169,11,Swift,bitwarden,The Bitwarden Authenticator app moved to https://github.com/bitwarden/ios !,2025-03-06T21:55:55Z,2024-03-20T15:59:24Z,1
SwiftUICoordinator,https://github.com/erikdrobne/SwiftUICoordinator,168,8,Swift,erikdrobne,SwiftUICoordinator is a package that seamlessly integrates the Coordinator pattern into the SwiftUI framework.,2025-02-27T20:10:19Z,2023-03-10T12:10:54Z,2
NameDrop,https://github.com/cyrilzakka/NameDrop,167,10,Swift,cyrilzakka,Poor man's replica of iOS 17 NameDrop animation,2023-06-09T16:05:22Z,2023-06-09T15:58:15Z,1
pkl-swift,https://github.com/apple/pkl-swift,166,24,Swift,apple,Pkl bindings for the Swift programming language,2025-02-26T17:12:56Z,2024-01-19T17:28:59Z,7
Noora,https://github.com/tuist/Noora,165,6,Swift,tuist,🎨 A design system for building CLIs in Swift,2025-03-21T09:32:48Z,2023-11-28T12:10:25Z,4
medio,https://github.com/nuance-dev/medio,165,2,Swift,nuance-dev,A minimal free macOS realtime diff checker app,2024-11-28T23:06:01Z,2024-10-23T04:01:24Z,2
DesignPattern,https://github.com/vishalMalvi/DesignPattern,164,19,Swift,vishalMalvi,Design Patterns in Swift,2023-06-04T21:04:48Z,2023-03-07T17:00:01Z,0
SwiftUI-Explorations,https://github.com/tonilijic/SwiftUI-Explorations,164,6,Swift,tonilijic,mono repo for all my SwiftUI explorations ✨,2024-12-19T12:12:53Z,2024-01-16T11:53:27Z,0
frida-ios-playground,https://github.com/NVISOsecurity/frida-ios-playground,163,20,Swift,NVISOsecurity,An iOS app that lets you practice your Frida skills,2023-04-20T09:27:18Z,2023-04-14T09:22:24Z,1
BlurUIKit,https://github.com/TimOliver/BlurUIKit,163,5,Swift,TimOliver,An App Store safe framework for tapping into more of the dynamic blur capabilities of UIKit.,2025-01-21T01:30:56Z,2024-06-16T02:33:22Z,0
space-saver,https://github.com/tranhuycong/space-saver,163,1,Swift,tranhuycong,SpaceSaver is a macOS application designed to help you manage and optimize your workspace. It leverages macOS accessibility features to provide a seamless experience,2025-02-10T02:59:40Z,2024-10-21T08:50:59Z,8
MasonryStack,https://github.com/lukepistrol/MasonryStack,163,6,Swift,lukepistrol,A Pinterest like layout in SwiftUI (horizontal & vertical).,2023-09-16T18:41:50Z,2023-08-25T17:50:26Z,1
swift-container-plugin,https://github.com/apple/swift-container-plugin,162,10,Swift,apple,Swift Package Manager plugin for building container images,2025-03-19T08:52:37Z,2024-09-05T21:04:57Z,7
CoreMLPlayer,https://github.com/npna/CoreMLPlayer,162,11,Swift,npna,Try CoreML models on multiple images and videos easily and quickly,2024-02-11T21:35:18Z,2023-02-04T18:40:06Z,1
OpenAI,https://github.com/FuturraGroup/OpenAI,159,22,Swift,FuturraGroup,A library that makes it easy to use ChatGPT API,2024-02-01T14:41:33Z,2023-02-27T13:39:23Z,0
spectre-kit,https://github.com/patriksvensson/spectre-kit,159,3,Swift,patriksvensson,A Swift framework that makes it easier to create beautiful console applications. ,2024-10-18T11:38:56Z,2023-12-03T17:20:10Z,5
